model,term,coefficient,std_error,p_value,ci_low,ci_high,percent_association,percent_ci_low,percent_ci_high
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.079949572881736,0.02415761822663116,0.0010942821460840776,0.03233596303222204,0.12756318273124995,8.323244200720213,3.2864451294272983,13.605664513530218
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.32655437587882524,0.06191114376761431,3.2132542200062135e-07,0.20453021699718887,0.4485785347604616,38.61836226664517,22.694852998590303,56.60844679203982
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.27420805415999483,0.060625310762299135,1.0032863200317099e-05,0.15471821594161045,0.3936978923783792,31.548846661713604,16.7328980059018,48.24526207815148
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.03140478369165814,0.008954541298040944,0.0005504097817628965,0.01375577410195164,0.04905379328136464,3.1903116912446765,1.3850820072791714,5.027684705839793
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.2565982430845578,0.05710656247095025,1.1400692499903772e-05,0.1440437039809775,0.36915278218813813,29.252574127803975,15.493458266097612,44.65085875402755
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.24803840090768042,0.03912942354099881,1.3212375521639172e-09,0.1709160170435441,0.32516078477181676,28.150914236342505,18.639110820492505,38.42531949231139
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.03378140498827606,0.008622062787774679,0.0001196445187363545,0.016787696013168818,0.0507751139633833,3.4358476410260934,1.692940123938911,5.208626716644447
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.2666044073850982,0.05971723783805967,1.2902832028999944e-05,0.14890434121808194,0.3843044735521145,30.552388855528,16.056196595499188,46.85925211981293
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.24575828620483858,0.042708999471800804,2.9412695845428325e-08,0.1615807146066719,0.3299358578030053,27.859048322938822,17.536732364103138,39.087891157338525
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.soft_only]",0.0331412090587918,0.008476007194942991,0.00012341340846610174,0.01643536927460344,0.04984704884298016,3.369649624514853,1.6571172930510754,5.111031554161259
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.2081622943970029,0.06055317520074439,0.0007032271511987539,0.08881463221815694,0.32750995657584886,23.141300476343087,9.287805316832056,38.75088660664643
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.technical_only]",0.17277901898129247,0.050722539472310424,0.0007844068904873042,0.07280711022959309,0.27275092773299187,18.86034172666036,7.552305950919614,31.357302946396565
category_adjusted_trimmed,has_ai_ml,0.2559948496306975,0.045829693383762284,6.924347067152721e-08,0.16566652670473286,0.3463231725566622,29.17460749532403,18.01794777559291,41.38594625708144
category_adjusted_trimmed,has_data_analysis,0.08744582627893749,0.02755846324669614,0.001726796762610951,0.03312929951000926,0.14176235304786572,9.138313855571106,3.3684185459608247,15.230277475330295
category_adjusted_trimmed,has_data_engineering,0.15364847311061083,0.014450653531330524,1.5911318337094899e-21,0.12516686648629657,0.1821300797349251,16.608090592937756,13.333755334445263,19.977024952583907
category_adjusted_trimmed,has_software,0.19625178793634349,0.02249691398411072,7.16640598924043e-16,0.15191135357693775,0.24059222229574923,21.68332506987318,16.405704236524134,27.200223538654978
category_adjusted_trimmed,has_cloud_devops,0.16798672578554877,0.01905598372983609,3.922254352395045e-16,0.13042821459048093,0.2055452369806166,18.292090819777794,13.931615068151135,22.819453951778648
category_adjusted_trimmed,has_cybersecurity,0.23302844684220028,0.05228967120703199,1.334898616796594e-05,0.129967789924195,0.33608910376020557,26.241739060477915,13.879170216682066,39.946371673502064
category_adjusted_trimmed,has_networks_systems,0.03929053587131638,0.028016914368023296,0.16222888479119038,-0.01592957802367545,0.09451064976630821,4.007261816192571,-1.5803373313555282,9.912086845105401
category_adjusted_trimmed,has_soft_communication,0.02163008963559737,0.006987670465010911,0.002223925442287144,0.00785769650657497,0.03540248276461977,2.1865715829681833,0.7888649223005662,3.6036611775618907
category_adjusted_trimmed,has_soft_teamwork,0.038480588422291774,0.012359684129229345,0.0020986011827721115,0.014120191115258827,0.06284098572932473,3.9230555057510608,1.4220351888332474,6.485749822939028
category_adjusted_trimmed,has_soft_adaptability,0.010808681014297567,0.007812684972706483,0.16793979405517984,-0.004589779656693924,0.026207141685289058,1.0867305835542576,-0.457926271434707,2.655356848766386
category_adjusted_trimmed,has_soft_problem_solving,0.041896125551656956,0.013848274300475083,0.0027830291308624227,0.014601782067704079,0.06919046903560983,4.278615428827229,1.4708908866455368,7.164030400607848
category_adjusted_trimmed,has_soft_creativity,0.0282073665905102,0.009456781032907313,0.0031832417223260543,0.009568464430993628,0.04684626875002677,2.860896144069882,0.961438854432315,4.796089235773021
category_adjusted_trimmed,has_soft_initiative_responsibility,0.015196724694402659,0.011229569525610902,0.17737502399470437,-0.0069362661143105055,0.037329715503115826,1.5312782067172857,-0.6912265743552559,3.803522072580646
category_adjusted_trimmed,has_soft_leadership,0.06808968984430297,0.007806654442016881,7.236669690933501e-16,0.05270311508576968,0.08347626460283626,7.0461313681920625,5.411664732906279,8.705941319975425
category_adjusted_trimmed,has_soft_customer_interaction,-0.0014966899392949058,0.007854867202578306,0.8490617926206292,-0.01697828994202256,0.013984910063432748,-0.14955704574830864,-1.6834971027004215,1.408315637253168
