skill_mix,count,mean,median,std,q25,q75
neither,67607,36501.203202183206,29998.5,24237.756539245976,25195.5,36500.0
soft_only,33204,38471.33147045536,33000.0,20727.248743567518,27500.0,42000.0
technical_and_soft,471,47824.409129511674,45000.0,16929.062243545934,37500.0,55000.0
technical_only,658,44958.62194528875,43000.0,16736.52610754369,36000.0,50000.0
