model,n,r2
unadjusted_full,101940,0.01395882113667457
adjusted_full,101940,0.6052755480550018
adjusted_trimmed,100209,0.6752151062932789
broad_detection_trimmed,100209,0.6758996486504019
category_adjusted_trimmed,100209,0.6765951169199353
