model,term,coefficient,std_error,p_value,ci_low,ci_high,percent_association,percent_ci_low,percent_ci_high
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.11684185630709079,0.015076234290435702,7.984949884197432e-10,0.08647676173116262,0.14720695088301897,12.394167134870536,9.03260301339711,15.859371021244275
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.8297546940572147,0.0518098816541001,3.311185815137388e-20,0.7254042358401761,0.9341051522742533,129.27562445430874,106.5565906995512,154.49351091089363
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.8299694709926496,0.11970119895792655,1.2780552345008325e-08,0.5888788805183893,1.07106006146691,129.32487285882038,80.19670621417332,191.8471620075466
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.05427961426036795,0.011846348561812874,3.647390508380314e-05,0.030419843476156908,0.078139385044579,5.577977196636249,3.0887254398145134,8.127336150267375
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.4634119143499018,0.17445555578011257,0.010890238663250115,0.11204038824408558,0.814783440455718,58.94879404793358,11.855803632775089,125.8686479267272
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.3868984025098683,0.14228047831777527,0.009262485364525577,0.10033080895844937,0.6734659960612872,47.240689082918834,10.553657899458397,96.10224513176406
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.05387300967601745,0.012586488803059502,9.647235082655735e-05,0.02852251992366448,0.07922349942837043,5.535057433379211,2.8933182070331767,8.244622114882336
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.4770348358800842,0.15435273429538576,0.003422048417194268,0.16615247065272293,0.7879172011074456,61.12895737669437,18.07531181979488,119.88119705264309
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.3574791853074019,0.11534467834581902,0.003340716254699923,0.12516307776171667,0.5897952928530872,42.972080693924894,13.333325944874117,80.36191638717798
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.soft_only]",0.053873420873551674,0.013107836448333429,0.00016536012028891503,0.02747288306206744,0.08027395868503591,5.535100829143524,2.785374248320559,8.358388423141552
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.3441522104984815,0.04524627810058336,1.2978379864636487e-09,0.25302152844185133,0.43528289255511166,41.07933567259337,28.791100325331918,54.54001793247727
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.technical_only]",0.3806614381970924,0.07681140610115615,1.0656388055032792e-05,0.2259553248640509,0.5353675515301339,46.32521202623446,25.351966286588517,70.80759328155233
category_adjusted_trimmed,has_ai_ml,0.40433037682734985,0.0893214192521574,4.3654419669866125e-05,0.22442780361193276,0.584232950042767,49.829886842491725,25.160634662854857,79.36146658016494
category_adjusted_trimmed,has_data_analysis,0.41353130014710165,0.012072655146757127,7.055135895992179e-34,0.38921572450322833,0.437846875790975,51.214821711749714,47.58228881546942,54.936764355964286
category_adjusted_trimmed,has_data_engineering,0.5180283245649232,0.18539922492722014,0.0076195227204838905,0.14461511734312688,0.8914415317867195,67.87145043977787,15.559471630054642,143.86424994198003
category_adjusted_trimmed,has_software,0.25598797307584736,0.14585029411258063,0.08604128581177173,-0.037769598565569384,0.5497455447172641,29.17371922210447,-3.7065223111589587,73.28120385878138
category_adjusted_trimmed,has_cloud_devops,0.41107663402057415,0.19116449695407361,0.036934307452185344,0.026051572871672313,0.7961016951694759,50.84409500236045,2.63938811884041,121.6881980116213
category_adjusted_trimmed,has_cybersecurity,0.3250370236913982,0.018844664086847776,1.8599547190897142e-21,0.2870819218917569,0.3629921254910395,38.40818888528681,33.25333726590688,43.762453860932624
category_adjusted_trimmed,has_networks_systems,0.14576464887620022,0.08386190242871104,0.08902347468664572,-0.02314189300346156,0.31467119075586203,15.692387267360363,-2.28761730982632,36.98088310937182
category_adjusted_trimmed,has_soft_communication,0.04191056001254947,0.0153016306496896,0.008801139163322308,0.011091493865606619,0.07272962615949231,4.28012064528703,1.115323253056719,7.543972683357726
category_adjusted_trimmed,has_soft_teamwork,0.08130676502847277,0.014106411022952913,6.991239073579786e-07,0.05289499478219718,0.10971853527474835,8.470359466318216,5.431893031773007,11.596392177142613
category_adjusted_trimmed,has_soft_adaptability,-0.04306038758685298,0.05162425631175806,0.40862421316964936,-0.1470369771728183,0.06091620199911233,-4.214645414368073,-13.673794416408796,6.280984911483032
category_adjusted_trimmed,has_soft_problem_solving,0.20317851708972387,0.018466061857364303,2.3954918901247756e-14,0.16598595932352309,0.24037107485592465,22.52911841409131,18.055652579466628,27.17209664508417
category_adjusted_trimmed,has_soft_creativity,0.08742246732635156,0.03620596108279588,0.01988065812448738,0.014499918411804341,0.16034501624089878,9.135764528647364,1.4605552171558966,17.39158211543481
category_adjusted_trimmed,has_soft_initiative_responsibility,0.0011079626789134377,0.006794722121731831,0.8711995185636493,-0.012577310172970296,0.014793235530797172,0.11085766963108844,-1.24985463654639,1.4903196999063715
category_adjusted_trimmed,has_soft_leadership,0.07318726643824133,0.01289451572913661,9.432146245479239e-07,0.047216378610209914,0.09915815426627275,7.5932004004282305,4.834882480146109,10.424092616301234
category_adjusted_trimmed,has_soft_customer_interaction,0.07003214330519394,0.010752527374204561,5.3904177021361864e-08,0.04837544148177447,0.09168884512861342,7.254265576606896,4.956463146280463,9.602373589367591
