skill_mix,count,mean,median,std,q25,q75
neither,20089,383679.95171486883,330000.0,176061.4738850011,268800.0,432000.0
soft_only,2779,432221.38644116593,390000.0,196715.62190346027,320040.0,480000.0
technical_and_soft,35,857810.7428571428,840000.0,253707.26547925532,654000.0,1020000.0
technical_only,105,913184.0,840000.0,400491.6281153222,600000.0,1200000.0
