model,n,r2
unadjusted_full,122811,0.012896226400869626
adjusted_full,122811,0.40214341842999135
adjusted_trimmed,120878,0.3903284103886111
broad_detection_trimmed,120878,0.3920147006870046
category_adjusted_trimmed,120878,0.39266957584504747
