skill_mix,count,mean,median,std,q25,q75
neither,72106,43051.44782681053,38880.0,14775.614117352381,33696.0,46656.0
soft_only,48158,44657.93583620582,39846.0,15043.86592995716,34992.0,49248.0
technical_and_soft,921,53151.47882736156,50472.0,16466.114693047828,41472.0,62208.0
technical_only,1626,52009.40959409594,49248.0,16625.938925078422,38880.0,60453.0
