model,term,coefficient,std_error,p_value,ci_low,ci_high,percent_association,percent_ci_low,percent_ci_high
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.03586807179700661,0.005932473161000939,6.448251019147568e-09,0.02417512286920777,0.04756102072480545,3.6519091369100676,2.4469710257386796,4.8710192224914
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.20893620557284215,0.03602707506103092,2.3433560713042084e-08,0.13792657143308423,0.27994583971260006,23.23663779153753,14.78912591693931,32.305815318709094
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.1850703731729501,0.04064181371542358,8.804040350883334e-06,0.10496505466403641,0.26517569168186383,20.33031174065487,11.0671796878447,30.365999787674646
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.008935117868525536,0.0037764466955658047,0.01886539868141724,0.0014917132139387378,0.016378522523112334,0.8975155191411479,0.14928263715302076,1.651338580419092
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.12741913762895907,0.03992371573569545,0.0016258182168499104,0.04872919560372084,0.20610907965419728,13.58930135250944,4.993598495747577,22.888724328024413
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.11653381653757235,0.04607385408822115,0.012143287427435681,0.025721905865644684,0.2073457272095,12.359550593440543,2.6055568758874506,23.04078837397502
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.009479873267352066,0.0036357228967990483,0.009758684751322697,0.002313836271623399,0.01664591026308073,0.9524949592621642,0.231651525661508,1.6785225362731697
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.12545255568691338,0.03867912069058677,0.0013683581506752772,0.04921571979520409,0.20168939157862267,13.366138189905453,5.044692849678395,22.346792964439494
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.11475364192462059,0.04499802349743329,0.011458919325763178,0.02606220138574679,0.2034450824634944,12.159708903278363,2.640479028818993,22.56178478800779
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.soft_only]",0.010203302413300764,0.0037301404052763154,0.006748945336152686,0.002851167802875358,0.01755543702372617,1.025553359573747,0.2855236247482656,1.771043942472127
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.10141939002742503,0.031037452974962597,0.0012615301186341705,0.04024433830178634,0.16259444175306373,10.674070045854492,4.106511520079498,17.655942953695405
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.technical_only]",0.10406705574378533,0.03304851815672457,0.001870477285258172,0.03892817951820575,0.1692059319693649,10.967486249409133,3.969580951466493,18.436401222593545
category_adjusted_trimmed,has_ai_ml,0.07808563303421372,0.03256081939108283,0.017328595445887638,0.013908014719801368,0.14226325134862605,8.121524244776058,1.4005181097757815,15.288010583514625
category_adjusted_trimmed,has_data_analysis,0.057779597079297564,0.03976613451865775,0.14767912824806517,-0.020599751189711808,0.13615894534830694,5.948145716735469,-2.038902575949092,14.586400887529313
category_adjusted_trimmed,has_data_engineering,0.09276717063875231,0.040259502185738275,0.022160123662626482,0.013415391011481814,0.1721189502660228,9.720624369738951,1.35057811234233,18.781911621077448
category_adjusted_trimmed,has_software,0.11945704156613669,0.052076761843518296,0.022759721414421435,0.01681335485476476,0.22210072827750862,12.688483381979388,1.695549480457367,24.869715064285362
category_adjusted_trimmed,has_cloud_devops,0.15570157918938696,0.019055934691086285,2.5648562864619147e-14,0.11814218952722666,0.19326096885154725,16.84774530665977,12.540412067110626,21.31993594539332
category_adjusted_trimmed,has_cybersecurity,0.08152799043402204,0.06055451056052844,0.1795985624207084,-0.03782540234435321,0.2008813832123973,8.49435852008355,-3.7118957011571037,22.247975660123988
category_adjusted_trimmed,has_networks_systems,0.05144560422887984,0.045148966813120375,0.25577187826290837,-0.03754334671306234,0.140434555170822,5.279191730638115,-3.6847332686348424,15.077376490793032
category_adjusted_trimmed,has_soft_communication,0.015587557255780562,0.00821342735232302,0.059054124363711644,-0.0006011694264140173,0.031776283937975144,1.5709676917051143,-0.060098876027985554,3.2286540391103644
category_adjusted_trimmed,has_soft_teamwork,0.006860753991307642,0.002509688570140497,0.006781887265305367,0.001914139067156504,0.01180736891545878,0.688434287896745,0.19159722007783458,1.1877351059582704
category_adjusted_trimmed,has_soft_adaptability,-0.0699380534422138,0.031148419954911025,0.025760683614586652,-0.13133182191447662,-0.008544284969950973,-6.7548419717397685,-12.307325740223401,-0.8507886307745759
category_adjusted_trimmed,has_soft_problem_solving,0.008442602096846509,0.00403697017149417,0.03766824637049249,0.00048570372457232454,0.01639950046912069,0.8478341368611824,0.04858216977255832,1.6534710390787324
category_adjusted_trimmed,has_soft_creativity,0.030923570102669766,0.009150754300253715,0.0008620163916041894,0.012887365002392643,0.04895977520294689,3.1406670568012642,1.2970764974279627,5.017810668919347
category_adjusted_trimmed,has_soft_initiative_responsibility,-0.005763702723142638,0.0046689563648700545,0.21836783684279157,-0.01496625060476435,0.0034388451584790756,-0.5747124454631678,-1.4854812903698078,0.3444764770088666
category_adjusted_trimmed,has_soft_leadership,0.03321100434294658,0.006610462862397936,1.0594915520145476e-06,0.020181732647752183,0.04624027603814099,3.3768645903657433,2.0386760765509777,4.732602807561238
category_adjusted_trimmed,has_soft_customer_interaction,-0.026776969380852954,0.006736909416475127,9.609509719300708e-05,-0.04005546817894272,-0.013498470582763194,-2.642164490472521,-3.9263852610201795,-1.3407774772266279
