country_code,country,year,gdp_per_capita_ppp_constant_2021_intl_usd,real_gdp_growth_percent,unemployment_percent_labor_force,inflation_cpi_percent,rd_expenditure_percent_gdp,labor_productivity_constant_2021_ppp_per_employed,tertiary_enrollment_gross_percent,internet_users_percent_population,population_total,trade_percent_gdp,avg_full_time_adjusted_salary_eur,tertiary_stem_graduates_per_1000,avg_annual_wage_constant_2025_usd_ppp,avg_annual_wage_eur
BE,Belgium,2019,60479.9769955469,2.4428900448156,5.364,1.43681956996438,3.15154,142675.533329534,79.3044815063477,90.275428012141,11488980,165.46547893199,47550.0,14.2,77530.415,47229.052
BE,Belgium,2020,57333.5424137924,-4.7929839083518,5.545,0.740791812220344,3.36823,136668.184090266,79.4996032714844,91.52641629,11538604,156.950121282783,46543.0,15.7,75470.615,46395.499
BE,Belgium,2021,60669.2137746534,6.25445686466593,6.248,2.44024851144084,3.40589,143705.694905106,82.6882019042969,92.78867618,11586195,177.381912201075,49706.0,16.4,78225.571,49372.351
BE,Belgium,2022,62602.9270469765,4.02460852835887,5.57,9.597511728725,3.19592,145529.767303213,83.5736465454102,94.00783071,11680210,191.053418131592,53559.0,16.4,76345.885,53292.58
BE,Belgium,2023,63042.0099876309,1.56125539542029,5.547,4.04901077613941,3.27235,146547.319672296,82.1475601196289,94.62625074,11779946,165.987440736442,57756.0,17.2,77456.239,57465.696
BE,Belgium,2024,63311.2766917178,1.09775383828703,5.7,3.14349136500041,,146545.886445007,,95.77579144,11858610,159.023481148927,59632.0,17.5,78614.158,59327.036
CZ,Czechia,2019,47763.6165520254,3.56577658128261,2.015,2.84787595918041,1.89547,96427.3835750095,66.8802185058594,80.8669444139622,10671870,138.154609993871,17375.0,16.1,42594.854,
CZ,Czechia,2020,45119.9387309139,-5.30487955463876,2.55,3.1612952849781,1.94537,92703.3335731518,67.1843719482422,81.33889705,10697858,128.780430305965,17222.0,16.0,42330.369,
CZ,Czechia,2021,47796.0337408466,4.02901832055149,2.803,3.83984491500146,1.93302,98551.0843875464,69.8369293212891,82.67062427,10505772,137.378116302868,18875.0,16.0,43202.076,
CZ,Czechia,2022,48390.661678675,2.8471706583814,2.224,15.1001651468371,1.89089,98358.3388438324,70.8145904541016,84.54009378,10672118,144.011494109397,21370.0,15.8,41059.62,
CZ,Czechia,2023,47558.4106763314,0.0475803308973752,2.579,10.6612601372427,1.83369,95792.8354094171,66.7282867431641,85.99404818,10864042,131.892598295876,23609.0,16.1,40594.508,
CZ,Czechia,2024,47972.53171792,1.25131096245923,2.6,2.43531202435314,,96029.1779110534,,87.68776014,10905028,131.466608125579,23998.0,17.1,41953.664,
DE,Germany,2019,62949.8932511855,0.977734697038784,3.163,1.44565976888253,3.11256,122812.78891255,72.705078125,88.1345169091916,83092962,79.0732427175683,44827.0,24.4,75376.183,43670.057
DE,Germany,2020,60299.5767710809,-4.13191443239947,3.881,0.144877925813982,3.0897,120283.600429596,72.3894195556641,89.81294133,83160871,72.9335327120137,44377.0,22.3,74806.641,43580.409
DE,Germany,2021,62630.7748127737,3.90999994204108,3.594,3.06666666666673,3.0786,124873.256541338,75.6655426025391,91.43060973,83196078,79.9195348609851,45718.0,24.0,74656.666,44917.797
DE,Germany,2022,63777.9291029299,1.8092581243061,3.137,6.87257438551097,3.07096,125725.542138246,77.3656997680664,91.62984383,83177813,88.7857542130501,47725.0,24.3,73053.743,46913.072
DE,Germany,2023,63140.1949099669,-0.869647578573321,3.071,5.94643667725823,3.1539,123949.005178566,78.5947494506836,92.4763763,83287273,81.9625483787634,50996.0,24.2,72953.447,49961.127
DE,Germany,2024,62654.602264023,-0.495851897260366,3.4,2.2564981433876,,123669.324150945,76.7096862792969,93.49999579,83516593,79.0907305894936,53791.0,24.4,74854.088,52476.531
EL,Greece,2019,33502.7506488997,2.27718065334808,17.045,0.253007522038157,1.26236,92661.4517378883,143.96272277832,75.6712066931757,10721582,80.5900949510457,15967.0,17.2,32442.169,16212.143
EL,Greece,2020,30487.1129331045,-9.19623149726978,15.899,-1.24798355581405,1.48872,84377.6707609109,143.693344116211,78.11584474,10698599,70.2937464580745,15859.0,16.8,32517.391,16061.205
EL,Greece,2021,33528.2271202515,8.65449786002131,14.656,1.22382501019854,1.43353,90786.8946661802,150.605484008789,78.49426371,10570130,88.0126654490379,16018.0,20.1,32586.977,16252.78
EL,Greece,2022,35828.1756641776,5.52198580589408,12.426,9.64525981280632,1.47714,91630.2040096918,166.389556884766,83.17066333,10437805,108.121843229922,16515.0,21.3,31422.875,16677.39
EL,Greece,2023,36700.5134631055,2.13591131996631,11.023,3.46480128513405,1.4943,92145.8897479429,165.113418579102,85.0102229,10407351,92.4710882947018,17070.0,23.1,31432.149,17258.82
EL,Greece,2024,37474.2798239947,2.0865743380603,10.02,2.74101875679486,,91704.636120514,,86.26968886,10405134,89.7765279446168,17954.0,21.9,32502.756,18225.537
ES,Spain,2019,46896.4171141424,1.96117850841711,14.104,0.699518994458648,1.24207,110743.211960685,91.5387725830078,90.718665325267,47118501,66.3662250440692,28176.0,20.9,56009.134,28014.795
ES,Spain,2020,41553.4477945675,-10.9400706350371,15.532,-0.322753017299649,1.39637,101656.794523899,91.59912109375,93.20564892,47359424,59.4461280147076,27844.0,20.9,55379.905,27722.642
ES,Spain,2021,44251.6658222621,6.68314420473001,14.914,3.09313511976402,1.39617,105480.455434457,95.3768997192383,93.89752157,47443821,66.524588943191,29383.0,23.4,57624.703,29480.344
ES,Spain,2022,46733.4809780536,6.37031712129601,13.033,8.39057634118637,1.40684,108027.315744828,95.0271606445312,94.4855432,47786102,78.4657338703054,30806.0,23.1,56683.114,30919.398
ES,Spain,2023,47322.5937004504,2.46085796805582,12.179,3.53236133492433,1.49362,107873.575596821,93.7303466796875,95.44564516,48352528,71.7976366055733,32216.0,23.5,56285.834,32276.052
ES,Spain,2024,48460.2914069661,3.45525405630191,11.4,2.747147886618,,108590.270486656,93.7689666748047,95.7574516,48848840,69.9502612382631,33700.0,24.8,57082.887,33767.131
FR,France,2019,53448.5548849943,2.02744646419237,8.415,1.10825492288294,2.19668,128928.445413505,67.7331314086914,83.3397440866883,67382061,66.4289607281749,38305.0,27.3,61289.217,38078.279
FR,France,2020,49311.333409639,-7.44064589948231,8.009,0.476498852725065,2.2742,119633.985563165,68.8709411621094,84.70639801,67601110,58.8388907240647,36799.0,29.0,58327.286,36562.871
FR,France,2021,52517.3354905855,6.88233783360239,7.871,1.64233141038394,2.21278,123998.870932207,69.9397888183594,86.09548575,67842811,63.788482630872,38861.0,29.6,60851.672,38660.988
FR,France,2022,53673.8137406422,2.71676264185913,7.303,5.22236748369725,2.21937,124988.856698658,71.5107269287109,85.33331734,68184457,75.9630077981996,40910.0,29.9,61044.379,40661.433
FR,France,2023,54296.7230897731,1.43921494437743,7.335,4.8783572650844,2.17832,125877.393888068,70.4536437988281,86.83635789,68372286,70.6261450610225,42771.0,27.6,59611.013,42447.323
FR,France,2024,54799.3482689389,1.19046798275883,7.4,1.99904942291463,,127331.963264779,71.5346908569336,88.65381638,68551653,68.1081875443744,43790.0,28.0,59864.791,43559.379
NL,Netherlands,2019,67847.8818461095,2.3001616053659,3.379,2.63369910249591,2.14036,125011.34913652,,93.2885906040269,17344874,160.676671884999,,13.6,80831.238,48188.086
NL,Netherlands,2020,64862.1890353474,-3.86799714191608,3.82,1.27246037789161,2.26514,120103.675317655,85.3370819091797,91.33333333,17441500,152.233230409706,,13.8,81771.956,49749.696
NL,Netherlands,2021,68573.5648786447,6.27683593745216,4.209,2.67572008805385,2.21542,127311.810597457,89.3898620605469,92.05298013,17533044,163.154842689698,,15.5,80400.832,51041.861
NL,Netherlands,2022,71324.0360229425,5.00723453395074,3.526,10.0012078753473,2.17529,129912.374901044,,92.51968504,17700982,184.107484252682,,15.4,76314.649,52103.929
NL,Netherlands,2023,70198.9546022361,-0.598061017580278,3.535,3.83839354342808,2.26719,126676.190572032,86.5938262939453,97.00680272,17877117,165.030429478933,,16.1,76028.493,55494.716
NL,Netherlands,2024,70493.9051219267,1.07383137319854,3.7,3.34754304219953,,127696.073905145,,97.00679779,17993485,153.956290574682,,17.1,78682.989,58922.444
SE,Sweden,2019,61070.5243445838,2.60823012869524,6.833,1.78415097403835,3.39847,123440.205383722,75.1148529052734,94.4934434072202,10278887,92.7511390290561,43073.0,15.8,61692.938,
SE,Sweden,2020,59458.2805291969,-1.93379704032216,8.291,0.497367318853572,3.50181,122849.572984249,79.1196365356445,94.53943122,10353442,84.4745958141618,44214.0,17.2,62495.441,
SE,Sweden,2021,62190.8526983825,5.2258643028773,8.803,2.16319736447143,3.41565,129037.123728179,85.9426193237305,94.6703163,10415811,91.1102374413042,47301.0,19.2,63922.77,
SE,Sweden,2022,62544.5002248644,1.25543620445816,7.417,8.36929098869189,3.47239,126821.495586221,83.8976135253906,95.00970335,10486941,107.111751826512,46436.0,20.7,61819.296,
SE,Sweden,2023,62122.5116950792,-0.204061304891439,7.611,8.5486248974891,3.59978,125143.49408177,81.3998184204102,95.70327461,10536632,107.619709443974,44520.0,20.5,60122.215,
SE,Sweden,2024,62558.4065876041,1.01779633304398,8.4,2.83581658224034,,127084.659688027,83.9988098144531,95.52930428,10569709,105.967492313344,46525.0,22.8,60905.178,
