model,term,coefficient,std_error,p_value,ci_low,ci_high,percent_association,percent_ci_low,percent_ci_high
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.03950945236088531,0.014286135911704204,0.006908290568706634,0.011123204606077311,0.0678957001156933,4.030033213265261,1.1185297456698657,7.0253675322697955
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.14480207452645164,0.0995953330190297,0.1494902590683559,-0.05309173075259496,0.3426958798054982,15.58107832307739,-5.170697914002834,40.87402704082524
unadjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.15472523774226207,0.10220354810880772,0.13359628812030758,-0.04835103536390431,0.3578015108484285,16.733717683918886,-4.720073786981302,43.01817167493741
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.014248628302092123,0.010372173292214666,0.172973936083618,-0.006360659097126355,0.0348579157013106,1.4350623862861973,-0.6340472926843566,3.547257395261285
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.0923918782302113,0.05032983577913754,0.06973736013767355,-0.0076124334125841076,0.19239618987300672,9.679454778153412,-0.7583532223976772,21.21506636614917
adjusted_full,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.13014519280509715,0.06095641846952006,0.03550439122429926,0.009026087707969532,0.25126429790222476,13.899374501649445,0.9066945674301666,28.56498339857752
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.soft_only]",0.015609618169980723,0.0095090353596755,0.10421121142488203,-0.003284632542546545,0.03450386888250799,1.5732084648252487,-0.3279244038443268,3.5106033071992746
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.095114145080975,0.04776470668519801,0.0495137543737238,0.0002066903093212863,0.19002159985262873,9.97843829392211,0.020671167123501144,20.92757175524441
adjusted_trimmed,"C(skill_mix, Treatment(reference='neither'))[T.technical_only]",0.1340169007983183,0.05700902165214714,0.020942152056155513,0.020741189095809548,0.24729261250082704,14.341214405938887,2.095778243431596,28.055376400110898
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.soft_only]",0.01544735994538635,0.009955915898861656,0.12431260449379584,-0.00433483287972769,0.03522955277050039,1.5567287133771543,-0.4325451052792974,3.585746546076912
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.technical_and_soft]",0.09523029565680549,0.04025362360333098,0.0201642132397732,0.01524720297904357,0.1752133883345674,9.991213094744761,1.5364034608344896,19.150044178195884
broad_detection_trimmed,"C(broad_skill_mix, Treatment(reference='neither'))[T.technical_only]",0.11145370115402653,0.045062851691849135,0.01528632488897939,0.021914774703311726,0.20099262760474135,11.790198523552656,2.2156667152971345,22.261575818348227
category_adjusted_trimmed,has_ai_ml,0.0926222914136769,0.017011871070523894,4.5486959593946823e-07,0.0588200659577988,0.12642451686955497,9.704729282167262,6.0584388334163055,13.476379241984898
category_adjusted_trimmed,has_data_analysis,0.10344929016638779,0.029794648285898256,0.0007991727972062756,0.04424795866302663,0.16265062166974895,10.898955526334241,4.524149944328925,17.662553040443385
category_adjusted_trimmed,has_data_engineering,0.03477735899219306,0.03189676893466886,0.27851989006827177,-0.02860084146406762,0.09815555944845374,3.53891630493728,-2.819570896266428,10.31343747368722
category_adjusted_trimmed,has_software,0.08558106024656367,0.0564212322855179,0.13285525290126804,-0.026526726504656484,0.19768884699778383,8.934986073353734,-2.617798337093356,21.858316901474474
category_adjusted_trimmed,has_cloud_devops,0.023739681695912007,0.031869715421802225,0.4582960217625618,-0.03958476400653585,0.08706412739835986,2.4023711074997114,-3.881152364883019,9.096663832733531
category_adjusted_trimmed,has_cybersecurity,0.12316950462568851,0.04956813180208475,0.014830667530053897,0.024678682560626233,0.2216603266907508,13.107612733505974,2.4985721818959075,24.814734351318315
category_adjusted_trimmed,has_networks_systems,0.04236758017156546,0.027705829546176758,0.12976300128384524,-0.012683312988839533,0.09741847333197046,4.327789654625951,-1.2603218752342238,10.232156929524088
category_adjusted_trimmed,has_soft_communication,0.0017720644995531734,0.017993435722535492,0.9217694933205831,-0.03398050901206026,0.03752463801116661,0.17736355337026885,-3.340965574535278,3.82375768757188
category_adjusted_trimmed,has_soft_teamwork,0.01292601495701777,0.02854266290952986,0.6517469755947356,-0.043787648271406035,0.06963967818544158,1.3009917004989693,-4.284281012228657,7.2121802774695976
category_adjusted_trimmed,has_soft_adaptability,0.1026766999223282,0.030306250746415176,0.001050510219914852,0.04245882522730491,0.1628945746173515,10.813309164250253,4.337309483920233,17.691260668592925
category_adjusted_trimmed,has_soft_problem_solving,0.07136139314990772,0.022455730345632568,0.002040491269060964,0.02674233527127899,0.11598045102853645,7.396928088524469,2.710312041841034,12.297391893357867
category_adjusted_trimmed,has_soft_creativity,0.020725049393124403,0.007952983206554368,0.01073960100571203,0.0049226411641697145,0.036527457622079096,2.0941304612227323,0.49347772679081564,3.7202782748796888
category_adjusted_trimmed,has_soft_initiative_responsibility,0.0010539581889592031,0.010778749910477116,0.9223259796439885,-0.02036318829046406,0.022471104668382466,0.10545137980703526,-2.0157258734630843,2.272548174553577
category_adjusted_trimmed,has_soft_leadership,0.039714277782713706,0.017614039083867043,0.026606056611429712,0.004715557310798764,0.07471299825462865,4.051343391059565,0.47266930480296965,7.757484064043267
category_adjusted_trimmed,has_soft_customer_interaction,-0.02186216085301959,0.01512361194542843,0.1518114460478948,-0.05191245564818463,0.008188133942145449,-2.1624915855720106,-5.058802113886223,0.8221748394782668
