skill_mix,count,mean,median,std,q25,q75
neither,23602,62729.36617362936,49920.0,38900.48645450167,41000.0,66252.44499999999
soft_only,15216,63986.33812894322,53285.0,35467.304396670654,42995.625,70000.0
technical_and_soft,862,67221.46761600928,62500.0,23964.03810825028,55000.0,75000.0
technical_only,1199,67350.86824854046,65000.0,21671.488575547195,55000.0,75000.0
