model,n,r2
unadjusted_full,40879,0.006551344506465551
adjusted_full,40879,0.4989894255311914
adjusted_trimmed,40076,0.5878243305801261
broad_detection_trimmed,40076,0.5884811106991547
category_adjusted_trimmed,40076,0.5891747099798857
